Date,Occupation,Ethnicity,Numerator,Denominator,Percentage
Apr 2020-Mar 2021,Skilled trades occups.,Black,!,24300,#VALUE!
Apr 2020-Mar 2021,"Caring, leisure and other occs.",Black,6200,24300,25.51440329
Apr 2020-Mar 2021,Sales & consumer service occs.,Black,!,24300,#VALUE!
Apr 2020-Mar 2021,"Process, plant & mach. Opers",Black,!,24300,#VALUE!
Apr 2020-Mar 2021,Elementary occups.,Black,5600,24300,23.04526749
Jul 2020-Jun 2021,"Managers, directors & seniors",Black,5700,34000,16.76470588
Jul 2020-Jun 2021,Prof. occups.,Black,2100,34000,6.176470588
Jul 2020-Jun 2021,Associate prof. & tech. occups.,Black,7500,34000,22.05882353
Jul 2020-Jun 2021,Admin. & secretarial occups.,Black,2500,34000,7.352941176
Jul 2020-Jun 2021,Skilled trades occups.,Black,!,34000,#VALUE!
Jul 2020-Jun 2021,"Caring, leisure and other occs.",Black,7000,34000,20.58823529
Jul 2020-Jun 2021,Sales & consumer service occs.,Black,!,34000,#VALUE!
Jul 2020-Jun 2021,"Process, plant & mach. Opers",Black,!,34000,#VALUE!
Jul 2020-Jun 2021,Elementary occups.,Black,6200,34000,18.23529412
Apr 2015-Mar 2016,"Managers, directors & seniors",White,18200,146400,12.43169399
Apr 2015-Mar 2016,Prof. occups.,White,48600,146400,33.19672131
Apr 2015-Mar 2016,Associate prof. & tech. occups.,White,39800,146400,27.18579235
Apr 2015-Mar 2016,Admin. & secretarial occups.,White,13200,146400,9.016393443
Apr 2015-Mar 2016,Skilled trades occups.,White,3300,146400,2.254098361
Apr 2015-Mar 2016,"Caring, leisure and other occs.",White,6200,146400,4.234972678
Apr 2015-Mar 2016,Sales & consumer service occs.,White,6400,146400,4.371584699
Apr 2015-Mar 2016,"Process, plant & mach. Opers",White,2200,146400,1.50273224
Apr 2015-Mar 2016,Elementary occups.,White,8700,146400,5.942622951
Jul 2015-Jun 2016,"Managers, directors & seniors",White,20900,149300,13.99866042
Jul 2015-Jun 2016,Prof. occups.,White,45000,149300,30.1406564
Jul 2015-Jun 2016,Associate prof. & tech. occups.,White,39300,149300,26.32283992
Jul 2015-Jun 2016,Admin. & secretarial occups.,White,11200,149300,7.501674481
Jul 2015-Jun 2016,Skilled trades occups.,White,4200,149300,2.81312793
Jul 2015-Jun 2016,"Caring, leisure and other occs.",White,5300,149300,3.549899531
Jul 2015-Jun 2016,Sales & consumer service occs.,White,10100,149300,6.76490288
Jul 2015-Jun 2016,"Process, plant & mach. Opers",White,2100,149300,1.406563965
Jul 2015-Jun 2016,Elementary occups.,White,11400,149300,7.635632954
Oct 2015-Sep 2016,"Managers, directors & seniors",White,21200,145600,14.56043956
Oct 2015-Sep 2016,Prof. occups.,White,48400,145600,33.24175824
Oct 2015-Sep 2016,Associate prof. & tech. occups.,White,35700,145600,24.51923077
Oct 2015-Sep 2016,Admin. & secretarial occups.,White,9600,145600,6.593406593
Oct 2015-Sep 2016,Skilled trades occups.,White,3200,145600,2.197802198
Oct 2015-Sep 2016,"Caring, leisure and other occs.",White,6600,145600,4.532967033
